idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.3284934319736,-5.76281697543767,-0.74519599142,0.999709198802746,0.0168596885066202,0.000616225985072419,-0.0172304671488069
0,456,0.960934483080504,1.8221339090776,-0.174172942948,0.543717415764284,-0.00582557221576676,0.0111554518084263,-0.839173992922753
645,189,-0.666134774322387,4.30285330421818,-0.121591196312,0.765295644462435,0.00352529959341506,0.00844996765427172,0.643613818120963
2,458,-6.18083,-2.61193,-0.0940682,0.889816,-0.00620407,0.00271993,-0.456273
189,270,-7.55882,-2.32914,-0.046149,-0.0359448,-0.0122953,0.0124457,0.999213
646,189,-0.216716,3.54176,-0.0019359,0.75227,0.0086044,-0.00270794,-0.658796
3,273,3.80642,-10.3448,0.0289545,0.959696,-0.00571967,0.0040068,0.280956
189,273,14.4871,-1.32634,0.281854,0.705745,-0.0231202,0.00046793,0.708092
273,458,0.907884,10.8113,0.0124035,0.996683,-0.000871556,-0.00396052,0.0812929
647,635,-7.12314,-1.44705,-0.232519,0.998984,-0.0373405,-0.0122311,-0.0221757
179,192,2.73208,2.79324,0.0843711,0.91832,-0.0402592,0.0139879,0.39354
191,635,-5.21047,6.58966,1.35179,0.637077,0.144763,-0.325655,0.683473
459,635,-3.87973,6.14107,-0.143608,0.805109,-0.0367297,0.00575834,-0.591961
648,461,3.09274,7.95235,0.055231,0.506202,0.0164269,0.0196453,-0.862037
191,274,-9.96979,1.90137,0.332571,0.886602,0.00810732,0.0158234,-0.462195
649,178,1.61386,2.62866,-0.282848,-0.437953,0.0200992,0.0421549,0.897785
6,178,-3.81796,1.40524,-0.377894,0.99489,0.0263279,-0.0407772,-0.0885604
7,178,-1.08527,-2.26564,-4.50136,0.84579,0.183451,-0.0374479,-0.499581
177,274,13.806,0.0273156,-0.0573034,0.95933,0.0367874,0.0171843,-0.279351
192,446,-3.60898,-0.264198,-0.75262,0.542097,-0.0363833,-0.0129319,0.839428
275,462,0.491399,3.23657,0.120971,0.847643,0.018423,-0.0139135,0.530067
650,177,-3.96618,-0.325626,-0.288812,0.424943,-0.0101264,-0.0366667,0.904425
8,193,1.74642,18.5087,-0.741829,0.633849,-0.00777739,-0.00585246,-0.773397
177,463,-11.1753,7.7251,-0.920283,0.113586,0.836064,-0.430829,0.320144
275,633,3.55273,4.41265,-0.156632,0.788012,-0.0128448,0.0352743,-0.614519
651,9,10.0114,-5.05302,0.103016,0.997444,0.00228367,0.00614376,-0.0711692
9,176,-8.412,-0.111443,-0.431343,0.193647,-0.0109179,-0.0364082,0.980337
176,276,-7.36819,2.79096,1.78477,0.0107336,-0.0488402,0.784955,0.617533
195,445,7.39236,0.00639336,1.33408,0.521514,0.0412381,0.0389587,0.851361
277,464,1.01976,2.91356,0.0351023,0.948608,0.00500363,-0.00929587,0.316279
652,175,-2.50542,-4.12501,-0.130018,0.776905,-0.0223727,-0.0289136,0.628561
9,196,2.02927,-1.19641,0.017368,0.617859,-0.00462408,-0.000576268,0.786278
176,196,1.53741,9.4704,9.72367,-0.0992336,0.769896,0.616515,0.131615
277,465,5.95645,13.0623,0.0702959,0.995473,0.00551469,-0.00445749,-0.0947916
653,278,-3.68165,-2.03016,-0.0670288,0.995164,0.00103488,-0.000825884,0.0982258
11,279,0.542628,5.30396,0.0959573,0.504536,-0.000371584,0.00190688,-0.86339
174,466,-4.95425,3.41879,-0.282224,-0.0347143,-0.0341471,-0.0177705,0.998657
278,442,11.2361,0.806248,-0.258373,0.295457,0.0163574,-0.0327203,0.954657
465,630,2.89753,0.102392,-0.112741,0.784614,0.027161,0.0246714,0.618904
654,467,10.6034,-2.8396,-0.0750831,0.939761,0.000239952,-0.0117949,-0.341632
12,442,-13.3091,4.85432,0.0192329,0.652839,-0.000720707,-0.035471,0.756673
197,442,-4.53743,-0.446748,-0.214932,0.993295,-0.0268849,-0.0226491,-0.110151
442,467,-6.16743,-11.7885,-0.48744,-0.238946,0.0206889,-0.0331656,0.970247
655,467,-1.30092,-1.35477,-0.0770829,-0.120996,0.00946304,0.00451788,0.9926
172,281,0.128101,-2.35623,-0.207979,0.977764,0.0387671,0.0054136,-0.206024
199,468,-6.5974,3.76911,-0.250385,0.966804,-0.000391365,0.000405358,0.255523
656,468,-2.51693,0.20014,-0.0882246,0.897668,0.00543726,0.00748947,0.440575
200,282,1.96604,-0.101898,-0.0802016,0.721496,-0.00320895,0.00302653,-0.692406
13,201,4.49283,12.196,-0.418446,-0.00639827,-0.00135285,-0.00258802,0.999976
201,282,2.80427,8.16742,0.324039,0.112384,-0.000303887,-0.00267796,0.993662
658,470,1.4656,0.839949,-0.111109,0.270866,-0.00412086,-0.00266003,0.962606
16,470,-9.85208,2.05409,0.301979,0.639177,-0.000362115,-0.000879372,0.76906
